school_code,AgeID,school_name,street,town_suburb,postcode,student_number,indigenous_pct,lbote_pct,ICSEA_Value,level_of_schooling,selective_school,opportunity_class,school_specialty_type,school_subtype,support_classes,preschool_ind,distance_education,intensive_english_centre,school_gender,phone,school_email,fax,late_opening_school,date_1st_teacher,lga,electorate,fed_electorate,operational_directorate,principal_network,facs_district,local_health_district,aecg_region,ASGS_remoteness,latitude,longitude,date_extracted
1028,11109,Alma Public School,Comstock St,Broken Hill ,2880,236,31,np,844,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,08 8088 2181,alma-p.school@det.nsw.edu.au,08 8087 3691,Y,1889-01-01,Broken Hill (C),Barwon,Parkes,Dubbo & Wagga Wagga,Far West,"Murrumbidgee, Far West & Western NSW",Far West,Western 3,Outer Regional Australia,-31.982217,141.462443,7/3/17
1030,9761,Alstonville Public School,Main St,Alstonville ,2477,540,6,6,1018,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6628 0775,alstonvill-p.school@det.nsw.edu.au,6628 5362,N,1875-01-01,Ballina (A),Ballina,Page,Tamworth & Coffs Harbour,Richmond Valley,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.838471,153.438172,7/3/17
1040,9126,Anna Bay Public School,191 Gan Gan Rd,Anna Bay ,2316,297,8,7,970,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4982 1187,annabay-p.school@det.nsw.edu.au,4982 1879,N,1879-11-01,Port Stephens (A),Port Stephens,Paterson,Tamworth & Coffs Harbour,Callaghan/Port Stephens,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.77637,152.089912,7/3/17
1041,5497,Annandale Public School,25 Johnston St,Annandale ,2038,372,5,30,1150,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,9516 3711,annandale-p.school@det.nsw.edu.au,9550 4581,N,1886-08-01,Leichhardt (A),Balmain,Grayndler,Ultimo,Port Jackson,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.885782,151.169599,7/3/17
1042,4930,Annandale North Public School,206 Johnston St,Annandale ,2038,398,np,16,1174,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9660 3972,annandalen-p.school@det.nsw.edu.au,9692 8323,N,1/5/07,Leichhardt (A),Balmain,Grayndler,Ultimo,Port Jackson,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.877905,151.171835,7/3/17
1045,10197,Appin Public School,97 Appin Road,Appin,2560,271,8,6,991,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4631 1220,appin-p.school@det.nsw.edu.au,4631 1486,N,1868-01-01,Wollondilly (A),Wollondilly,Hume,Ultimo,Wollondilly,South Western Sydney,South Western Sydney,Dharawal,Inner Regional Australia,-34.198417,150.78766,7/3/17
1048,17392,Arcadia Public School,140 Arcadia Road,Arcadia,2159,72,0,19,1064,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9653 1207,arcadia-p.school@det.nsw.edu.au,9653 2697,N,1894-05-01,Hornsby (A),Hornsby,Berowra,Macquarie Park,Dural,"South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Inner Regional Australia,-33.623487,151.051031,7/3/17
1051,10519,Ardlethan Central School,Mithul St,Ardlethan ,2665,83,np,np,966,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,6978 2046,ardlethan-c.school@det.nsw.edu.au,6978 2202,N,1/1/10,Coolamon (A),Cootamundra,Riverina,Dubbo & Wagga Wagga,Griffith,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1 ,Outer Regional Australia,-34.354098,146.900557,7/3/17
1055,10520,Ariah Park Central School,Reid St,Ariah Park ,2665,125.2,np,0,983,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,6974 1105,ariahpark-c.school@det.nsw.edu.au,6974 1017,N,1899-04-01,Temora (A),Cootamundra,Riverina,Dubbo & Wagga Wagga,Cootamundra,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,-34.346925,147.218018,7/3/17
1057,9372,Armidale City Public School,Faulkner St,Armidale ,2350,446,11,17,1023,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6772 3420,armidalec-p.school@det.nsw.edu.au,6771 2262,N,1861-06-01,Armidale Dumaresq (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Northern Tablelands,Hunter New England & Central Coast,Hunter New England,North Western 2,Inner Regional Australia,-30.519501,151.664056,7/3/17
1058,9376,Drummond Memorial Public School,250 Rusden Street,Armidale,2350,122,45,20,825,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6772 3736,drummondm-p.school@det.nsw.edu.au,6771 2275,N,1890-10-01,Armidale Dumaresq (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Northern Tablelands,Hunter New England & Central Coast,Hunter New England,North Western 2,Inner Regional Australia,-30.511469,151.650715,7/3/17
1061,7612,Artarmon Public School,McMillan Rd,Artarmon ,2064,1125,np,75,1186,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9411 1950,artarmon-p.school@det.nsw.edu.au,9415 1243,N,1/10/10,Willoughby (C),Lane Cove,North Sydney,Macquarie Park,North Sydney,"South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.811249,151.186001,7/3/17
1064,7773,Ashbury Public School,Trevenar St,Ashbury,2193,381,2,45,1107,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9798 4509,ashbury-p.school@det.nsw.edu.au,9716 8089,N,1/5/24,Canterbury (C),Summer Hill,Watson,Ultimo,Canterbury,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.898833,151.11944,7/3/17
1065,7774,Ashfield Public School,Liverpool Rd,Ashfield ,2131,370,np,75,1066,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9798 4400,ashfield-p.school@det.nsw.edu.au,9716 7250,N,1862-01-01,Ashfield (A),Summer Hill,Grayndler,Ultimo,Marrickville,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.889723,151.12821,7/3/17
1066,9412,Ashford Central School,Albury St,Ashford ,2361,167.8,23,np,854,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,6725 4101,ashford-c.school@det.nsw.edu.au,6725 4336,Y,1868-01-01,Inverell (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Barwon,Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-29.321262,151.094638,7/3/17
1070,5797,Asquith Public School,Dudley St,Asquith,2077,374,2,33,1090,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9477 1258,asquith-p.school@det.nsw.edu.au,9482 2523,N,1/3/30,Hornsby (A),Hornsby,Bradfield,Macquarie Park,Hornsby,"South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.685729,151.112177,7/3/17
1071,9369,Attunga Public School,Railway St,Attunga ,2345,37,np,0,944,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6769 5554,attunga-p.school@det.nsw.edu.au,6769 5690,N,1878-04-01,Tamworth Regional (A),Tamworth,New England,Tamworth & Coffs Harbour,Tamworth,Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.930445,150.846575,7/3/17
1073,7799,Auburn North Public School,100 Adderley St,Auburn ,2144,665,np,98,966,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9748 1036,auburnnth-p.school@det.nsw.edu.au,9748 0109,N,1891-01-01,Auburn (C),Auburn,Blaxland,Macquarie Park,Holroyd,Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan South West,Major Cities of Australia,-33.841669,151.038618,7/3/17
1075,7801,Auburn West Public School,Chiswick Rd,Auburn ,2144,721,np,98,906,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9649 6774,auburnwest-p.school@det.nsw.edu.au,9749 1467,N,1/8/34,Auburn (C),Auburn,Blaxland,Macquarie Park,Holroyd,Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan South West,Major Cities of Australia,-33.860931,151.019764,7/3/17
1076,9986,Austinmer Public School,90 Lawrence Hargrave Drive,Austinmer ,2515,345,2,11,1105,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4267 1311,austinmer-p.school@det.nsw.edu.au,4267 1018,N,1866-01-01,Wollongong (C),Keira,Cunningham,Dubbo & Wagga Wagga,Wollongong North,Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.305398,150.934991,7/3/17
1077,8545,Austral Public School,219 Edmondson Avenue,Austral,2179,281,4,50,953,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9606 0312,austral-p.school@det.nsw.edu.au,9606 0080,N,1893-06-01,Liverpool (C),Camden,Werriwa,Ultimo,Macarthur,South Western Sydney,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.934487,150.812638,7/3/17
1081,10243,Avoca Public School,Sheepwash Rd,Avoca,2577,21,np,0,998,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4887 7224,avoca-p.school@det.nsw.edu.au,4887 7380,N,1872-09-01,Wingecarribee (A),Goulburn,Whitlam,Ultimo,Wollondilly,South Western Sydney,South Western Sydney,Upper South Coast,Inner Regional Australia,-34.612697,150.479766,7/3/17
1082,16159,Avoca Beach Public School,The Round Drive,Avoca Beach,2251,511,4,6,1094,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4382 1416,avocabch-p.school@det.nsw.edu.au,4381 1431,N,1/5/35,Gosford (C),Terrigal,Robertson,Macquarie Park,Gosford,Hunter New England & Central Coast,Central Coast,Central Coast,Major Cities of Australia,-33.471154,151.430745,7/3/17
1084,8964,Awaba Public School,Mulbring Street,Awaba,2283,36,np,np,969,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4959 2502,awaba-p.school@det.nsw.edu.au,4950 4905,N,1891-06-01,Lake Macquarie (C),Lake Macquarie,Hunter,Tamworth & Coffs Harbour,Lake Macquarie West,Hunter New England & Central Coast,Hunter New England,Hunter ,Major Cities of Australia,-33.010554,151.538068,7/3/17
1085,16197,Colo Vale Public School,Wattle St,Colo Vale ,2575,230,3,6,992,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4889 4250,colovale-p.school@det.nsw.edu.au,4889 4285,N,1882-01-01,Wingecarribee (A),Wollondilly,Hume,Ultimo,Wollondilly,South Western Sydney,South Western Sydney,Upper South Coast,Inner Regional Australia,-34.401281,150.476178,7/3/17
1098,9413,Bald Blair Public School,Ebor Rd,Guyra ,2365,36,np,np,972,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6779 1578,baldblair-p.school@det.nsw.edu.au,6779 2060,N,1/5/20,Guyra (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Northern Tablelands,Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.229893,151.785056,7/3/17
1104,7691,Seaforth Public School,37 Kempbridge Avenue,Seaforth ,2092,566,np,18,1152,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9948 1694,seaforth-p.school@det.nsw.edu.au,9907 0858,N,1881-07-01,Manly (A),Manly,Warringah,Macquarie Park,Warringah,"South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.793262,151.251235,7/3/17
1106,10002,Balgownie Public School,Balgownie Rd,Balgownie ,2519,349,np,22,1077,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4284 4245,balgownie-p.school@det.nsw.edu.au,4284 3462,N,1889-04-01,Wollongong (C),Keira,Cunningham,Dubbo & Wagga Wagga,Wollongong North,Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.386984,150.872076,7/3/17
1111,11039,Ballimore Public School,Bomen St,Ballimore ,2830,14,np,0,943,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6886 5151,ballimore-p.school@det.nsw.edu.au,6886 5167,N,1884-07-01,Dubbo (C),Dubbo,Parkes,Dubbo & Wagga Wagga,Macquarie,"Murrumbidgee, Far West & Western NSW",Western NSW,Western 1,Outer Regional Australia,-32.193596,148.899631,7/3/17
1112,9765,Ballina Public School,48 Crane St,Ballina ,2478,246,34,6,836,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6686 2205,ballina-p.school@det.nsw.edu.au,6686 0692,N,1861-08-01,Ballina (A),Ballina,Richmond,Tamworth & Coffs Harbour,Richmond Valley,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.869724,153.563707,7/3/17
1115,6377,Balranald Central School,We St,Balranald,2715,151.6,27,4,899,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,03 5020 2222,balranald-c.school@det.nsw.edu.au,03 5020 2269,Y,1865-09-01,Balranald (A),Murray,Farrer,Dubbo & Wagga Wagga,Deniliquin,"Murrumbidgee, Far West & Western NSW",Far West,Riverina 3,Outer Regional Australia,-34.635575,143.564769,7/3/17
1118,9770,Bangalow Public School,Byron St,Bangalow ,2479,291,2,7,1102,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6687 1434,bangalow-p.school@det.nsw.edu.au,6687 2036,N,1884-10-01,Byron (A),Ballina,Richmond,Tamworth & Coffs Harbour,Lismore,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.68554,153.525743,7/3/17
1121,6390,Banksmeadow Public School,Trevelyan & Wiggins Sts,Botany ,2019,254,6,22,1039,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,9316 9608,banksmeado-p.school@det.nsw.edu.au,9316 4513,N,1881-08-01,Botany Bay (C),Maroubra,Kingsford Smith,Ultimo,Botany Bay,"South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.953739,151.20661,7/3/17
1123,8557,Greenacre Public School,Waterloo Rd,Greenacre,2190,797,1,98,932,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9759 1305,greenacre-p.school@det.nsw.edu.au,9740 4035,N,1/5/21,Bankstown (C),Lakemba,Watson,Ultimo,Canterbury,South Western Sydney,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.911161,151.057581,7/3/17
1124,8574,Bankstown North Public School,322 Hume Hwy,Bankstown ,2200,377,np,93,979,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9709 5506,bankstownn-p.school@det.nsw.edu.au,9790 0945,N,1868-01-01,Bankstown (C),Bankstown,Blaxland,Ultimo,Bankstown,South Western Sydney,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.904888,151.038043,7/3/17
1129,9515,Banora Point Public School,Pioneer Pde,Banora Point ,2486,621,10,6,995,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,07 5524 1444,banorapt-p.school@det.nsw.edu.au,07 5524 9287,N,1893-07-01,Tweed (A),Tweed,Richmond,Tamworth & Coffs Harbour,Tweed,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Major Cities of Australia,-28.222422,153.543702,7/3/17
1130,6402,Baradine Central School,Narren St,Baradine,2396,109,50,0,787,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,6843 1805,baradine-c.school@det.nsw.edu.au,6843 1751,Y,1876-01-01,Warrumbungle Shire (A),Barwon,Parkes,Dubbo & Wagga Wagga,Western Plains,"Murrumbidgee, Far West & Western NSW",Western NSW,North Western 1,Remote Australia,-30.950736,149.070198,7/3/17
1131,10521,Barellan Central School,Boree St,Barellan ,2665,119,11,7,967,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,6963 9202,barellan-c.school@det.nsw.edu.au,6963 9302,N,1/8/11,Narrandera (A),Cootamundra,Farrer,Dubbo & Wagga Wagga,Griffith,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1 ,Outer Regional Australia,-34.287799,146.571928,7/3/17
1134,10234,Bargo Public School,Southern Rd,Bargo ,2574,359,7,10,979,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4684 1396,bargo-p.school@det.nsw.edu.au,02 4684 3781,N,1869-05-01,Wollondilly (A),Wollondilly,Hume,Ultimo,Wollondilly,South Western Sydney,South Western Sydney,Dharawal,Inner Regional Australia,-34.292889,150.58274,7/3/17
1135,10672,Barham Public School,Wakool St,Barham,2732,147,np,6,992,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,03 5453 2133,barham-p.school@det.nsw.edu.au,03 5453 2972,Y,1/10/01,Wakool (A),Murray,Farrer,Dubbo & Wagga Wagga,Deniliquin,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 2 ,Outer Regional Australia,-35.626915,144.127977,7/3/17
1136,9751,Barkers Vale Public School,4501 Kyogle Rd,Wadeville ,2474,51,np,27,978,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6689 7202,barkersval-p.school@det.nsw.edu.au,6689 7469,N,1/5/33,Kyogle (A),Lismore,Page,Tamworth & Coffs Harbour,Richmond Valley,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.54902,153.14927,7/3/17
1137,10527,Barmedman Public School,Robertson St,Barmedman ,2668,15,np,np,866,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6976 2128,barmedman-p.school@det.nsw.edu.au,6976 2006,N,1883-04-01,Bland (A),Cootamundra,Riverina,Dubbo & Wagga Wagga,Cootamundra,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1 ,Outer Regional Australia,-34.148277,147.385078,7/3/17
1138,9127,Barnsley Public School,Cliffbrook St,Barnsley ,2278,283,11,3,951,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4953 2976,barnsley-p.school@det.nsw.edu.au,4953 3094,N,1865-12-01,Lake Macquarie (C),Cessnock,Hunter,Tamworth & Coffs Harbour,Lake Macquarie West,Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.933094,151.594552,7/3/17
1139,10460,Barooga Public School,Hughes St,Barooga ,3644,151,5,7,963,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,03 5873 4242,barooga-p.school@det.nsw.edu.au,03 5873 4700,N,1896-01-01,Berrigan (A),Murray,Farrer,Dubbo & Wagga Wagga,Deniliquin,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 2 ,Inner Regional Australia,-35.912963,145.695985,7/3/17
1140,9371,Barraba Central School,Gotha St,Barraba ,2347,188.8,17,np,899,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,6782 1104,barraba-c.school@det.nsw.edu.au,6782 1231,N,1861-10-01,Tamworth Regional (A),Tamworth,New England,Tamworth & Coffs Harbour,Tamworth,Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.38239,150.599478,7/3/17
1143,9523,Barrington Public School,1 Kenmore St,Barrington ,2422,58,12,np,1002,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6558 4258,barrington-p.school@det.nsw.edu.au,6558 4216,N,1864-05-01,Gloucester (A),Upper Hunter,Lyne,Tamworth & Coffs Harbour,Great Lakes,Hunter New England & Central Coast,Hunter New England,Manning,Outer Regional Australia,-31.971159,151.911058,7/3/17
1146,9683,Baryulgil Public School,7135 Clarence Way,Baryulgil ,2460,9,78,np,,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6647 2124,baryulgil-p.school@det.nsw.edu.au,6647 2151,N,1/11/17,Clarence Valley (A),Clarence,Page,Tamworth & Coffs Harbour,Clarence Valley,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Outer Regional Australia,-29.2235,152.605615,7/3/17
1148,8571,Bass Hill Public School,611 Hume Hwy,Bass Hill ,2197,354,3,82,944,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,9644 3431,basshill-p.school@det.nsw.edu.au,9644 5271,N,1/3/23,Bankstown (C),Bankstown,Blaxland,Ultimo,Bankstown,South Western Sydney,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.905902,151.005779,7/3/17
1149,10056,Batemans Bay Public School,Mundarra Way,Surfside,2536,569,29,5,897,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,4472 4059,batemansba-p.school@det.nsw.edu.au,4472 8457,N,1869-07-01,Eurobodalla (A),Bega,Gilmore,Dubbo & Wagga Wagga,Far South Coast,Illawarra Shoalhaven & Southern NSW,Southern NSW,Lower South Coast,Inner Regional Australia,-35.700051,150.188373,7/3/17
1150,10975,Bathurst Public School,George St,Bathurst ,2795,577,11,12,982,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6331 3923,bathurst-p.school@det.nsw.edu.au,6332 2305,N,1853-02-01,Bathurst Regional (A),Bathurst,Calare,Dubbo & Wagga Wagga,Bathurst,"Murrumbidgee, Far West & Western NSW",Western NSW,Western 1,Inner Regional Australia,-33.420942,149.570615,7/3/17
1152,6415,Batlow Technology School,Pioneer St,Batlow ,2730,109,7,5,929,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,6949 1208,batlow-c.school@det.nsw.edu.au,6949 1666,N,1868-01-01,Tumut Shire (A),Wagga Wagga,Eden-Monaro,Dubbo & Wagga Wagga,Albury,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,-35.523007,148.146548,7/3/17
